sample name,peak location (cm^-1),temperature (Celsius),hours dehydrated,traverse direction,raypath direction,position (microns),area (cm^-2) or height (/cm),area/initial or height/initial,FTIR spectrum filename,
SC1-2,total H,800.0,68.0,b,c,-489.3,11.593,0.468,SC1-2-800C-68hr-b05.csv,
SC1-2,total H,800.0,68.0,b,c,-289.3,11.116,0.445,SC1-2-800C-68hr-b07.csv,
SC1-2,total H,800.0,68.0,b,c,-89.3,10.336,0.411,SC1-2-800C-68hr-b09.csv,
SC1-2,total H,800.0,68.0,b,c,110.7,9.896,0.391,SC1-2-800C-68hr-b11.csv,
SC1-2,total H,800.0,68.0,b,c,510.7,8.615,0.335,SC1-2-800C-68hr-b15.csv,
SC1-2,total H,800.0,68.0,b,c,810.7,6.745,0.260,SC1-2-800C-68hr-b18.csv,
SC1-2,total H,800.0,68.0,c,b,-1355.7,10.070,0.447,SC1-2-800C-68hr-c00.csv,
SC1-2,total H,800.0,68.0,c,b,-1205.7,10.933,0.480,SC1-2-800C-68hr-c02.csv,
SC1-2,total H,800.0,68.0,c,b,-1005.7,10.596,0.458,SC1-2-800C-68hr-c04.csv,
SC1-2,total H,800.0,68.0,c,b,-805.7,9.447,0.403,SC1-2-800C-68hr-c06.csv,
SC1-2,total H,800.0,68.0,c,b,-605.7,8.981,0.378,SC1-2-800C-68hr-c08.csv,
SC1-2,total H,800.0,68.0,c,b,-405.7,8.797,0.365,SC1-2-800C-68hr-c10.csv,
SC1-2,total H,800.0,68.0,c,b,-205.7,8.125,0.332,SC1-2-800C-68hr-c12.csv,
SC1-2,total H,800.0,68.0,c,b,194.3,7.598,0.302,SC1-2-800C-68hr-c16.csv,
