name,IGSN,Fo #,peak,Celsius,GPa ,fO2Buffer,fO2_log10bars,Experiment,orientation,hours,mechanism,log10D,log10Derror,maximum_val,log10D_estimated,residual_on_estimate
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,3,[Ti],-11.9,0.4,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,6,[Ti],-10.9,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,6,[Ti],-12.2,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,6,[Ti],-11.9,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,7,[Ti],-10.9,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,7,[Ti],-12.2,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,7,[Ti],-11.9,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,a,8,[Ti],-10.9,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,b,8,[Ti],-12.2,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,c,8,[Ti],-11.9,0.3,,,
,,,,,,,,,,,,,,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,1,[tri],-11.5,0.6,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,1,[tri],-11.6,0.6,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,1,[tri],-11,0.6,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,8,[tri],-12.5,0.6,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,8,[tri],-12.2,0.6,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,8,[tri],-12.5,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,3,[tri],-11.3,0.5,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,3,[tri],-12.3,0.5,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,3,[tri],-11.2,0.5,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,6,[tri],-11.8,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,6,[tri],-12,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,6,[tri],-11.8,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,7,[tri],-11.8,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,7,[tri],-12,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,7,[tri],-11.8,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,a,8,[tri],-11.8,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,b,8,[tri],-12,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,c,8,[tri],-11.8,0.6,,,
